Index|Headline|Scraped Content|Model Decision|Actual Decision
0|NASA’s Perseverance rover finds its first possible hint of ancient life on Mars|NASA’s Perseverance rover finds its first possible hint of ancient life on Mars  Every print subscription comes with full digital access 	The discovery builds the case for bringing pieces of Mars back to Earth for future studyPerseverance examined this Mars rock on July 21. The leopard spot–like features speckling the clay-colored part of the rock resemble structures in Earth rocks that are associated with life.MSSS/JPL-Caltech/NASABy Lisa GrossmanJuly 25, 2024 at 7:52 pmNASA’s Perseverance rover has bagged its first hint of ancient microbes on Mars.“We’re not able to say that this is a sign of life,” says Perseverance deputy project scientist Katie Stack Morgan of NASA’s Jet Propulsion Lab in Pasadena, Calif.  “But this is the most compelling sample we’ve found yet.”The rover drilled up the sample on July 21 from a reddish rock, dubbed Cheyava Falls after a feature at the Grand Canyon. It is the first piece of Mars that Perseverance has examined that contains organic molecules, the building blocks of life, project scientist Ken Farley of Caltech reported July 25 at the 10th International Conference on Mars in Pasadena.This isn’t the first sign of organics on Mars — the Curiosity rover detected organic molecules in a region called Gale Crater in 2014 (SN: 12/16/14). But scientists have struggled to identify organics since Perseverance landed in an ancient dried-up lake called Jezero Crater in 2021, says Stack Morgan (SN: 2/17/21).Adding to the excitement, the reddish rock is speckled with little white spots with black rims. “They look like a tricolored leopard spot,” Stack Morgan says.Perseverance examined the spots with instruments that can identify their chemical contents and found that the rims contain iron phosphate molecules. On Earth, rings with similar texture and chemistry are associated with ancient microbial life. The chemical reactions that create the rings can be an energy source for microbes.“They don’t require life, of course, and that’s an important caveat,” Stack Morgan says. “But based on our experience with similar things on Earth, there is a possibility that life could have been involved, and these could have a biological origin.”The rock has other confusing features that muddy the picture of how it formed, Stack Morgan says. It is shot through with white veins of calcium sulfate. These veins are filled with millimeter-sized crystals of olivine, a mineral that forms from magma. The inclusion of both the spots and these volcanic features in the same rock is “a little bit mysterious,” Stack Morgan says, as they point to different origins. Figuring out how the rock formed could help tell how likely it is to have had the right conditions and temperatures to host biology.Planetary scientist Paul Byrne thinks we should be circumspect about the finding.“Could this truly be a biosignature? Yes. And if it is, then it really is the kind of society-altering discovery that the discovery of truly extraterrestrial life would be,” says Byrne, of Washington University in St. Louis. But it’s also possible that the spots came from something other than life, “in which case all this is is an interesting example of water-rock chemistry.”The only way to find out for sure is to bring the rock home. A big part of Perseverance’s mission is to collect samples from interesting rocks for a future spacecraft to return to Earth, where they can be studied in more sophisticated laboratories than a rover can carry on its back. Perseverance has thrown everything it has at this rock already, Stack Morgan says.But funding uncertainty has recently put the program, known as Mars Sample Return, on hold (SN: 5/8/24).“With this sample, the rationale for MSR is strengthened even more, and should I hope motivate NASA to commit to pulling off this project sooner rather than later,” Byrne says.Stack Morgan says the rover team is carrying on despite the budget uncertainty.“We have a mission to carry out, and a job to do: collecting compelling samples,” Stack Morgan says. “It can only be our hope that the samples that we collect are compelling enough to justify the cost of Mars Sample Return. I think with this exciting sample, that really hits that home.”Questions or comments on this article? E-mail us at feedback@sciencenews.org   Reprints FAQJPL-Caltech. NASA’s Perseverance rover scientists find intriguing Mars rock. Posted online July 25, 2024Lisa Grossman is the astronomy writer. She has a degree in astronomy from Cornell University and a graduate certificate in science writing from University of California, Santa Cruz. She lives near Boston. We are at a critical time and supporting climate journalism is more important than ever. Science News and our parent organization, the Society for Science, need your help to strengthen environmental literacy and ensure that our response to climate change is informed by science.    Please  subscribe to Science News and add $16 to expand science literacy and understanding. Science News was founded in 1921 as an independent, nonprofit source of accurate information on the latest news of science, medicine and technology. Today, our mission remains the same: to empower people to evaluate the news and the world around them. It is published by the Society for Science, a nonprofit 501(c)(3) membership organization dedicated to public engagement in scientific research and education (EIN 53-0196483). 				© Society for Science & the Public 2000–2024. All rights reserved.			Subscribers, enter your e-mail address for full access to the Science News archives and digital editions.Not a subscriber? Become one now.|True|True
1|Sepsis tests take days  putting patients at risk. A new method may cut wait time|"Sepsis test could cut diagnosis time from days to minutes  Scientists say a new test for sepsis could cut diagnosis times from days to minutes.Detecting the deadly illness is difficult because the symptoms are nondescript.Current tests can take as long as 48 hours - problematic with an illness where every second counts.Peter Ghazal, from Cardiff University's Project Sepsis, said early detection ""dramatically improves"" chances of survival.""We're very excited. We think we can actually move this at least within five years, but hopefully before then, to actually being used in a clinical setting,"" he said.It is estimated five million people die every year from the illness worldwide, which occurs when the body responds to an infection by injuring its own tissues and organs.In Wales there are about 2,900 deaths annually.Nicola Madoc-Jones' daughter Edie developed sepsis after being born prematurely at 23 weeks.""They suspected she had sepsis so what they do is they take blood cultures, but unfortunately the results of the blood cultures take up to 48 hours,"" she said.""And we don't have those hours to spare.""Two-and-a-half years later, Edie is a strong toddler but between 30 and 40% of premature babies suffering from sepsis will not survive.The researchers have been trying to pick up signals in the blood from the ""chatter of the immune system"" to see if a patient is going to become sick.This is done by conducting ""millions"" of experiments on small volumes of blood. Researchers can then decipher signals from the chatter that indicate a patient is infected.""This is a chatter that occurs very early on, so days before the current tests actually give you any signal,"" Prof Ghazal said. ""This is something that can be used as a very early warning to pick up in terms of a clinical diagnosis for sepsis.""""The test that we're looking at could be done within minutes to hours from first suspecting a patient might be septic,"" he said.""If you don't detect sepsis in a patient, you can lose a life within hours, so the early recognition and the administration of antibiotics dramatically improves outcome in terms of survival.""Copyright 2024 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking."|True|True
2|Nasa's DART asteroid unlocks complex history of twin space rock targets; see pics|Nasa's DART asteroid unlocks complex history of twin space rock targets; see pics  The TOI Science Desk stands as an inquisitive team of journalists, ceaselessly delving into the realms of discovery to curate a captivating collection of news, features, and articles from the vast and ever-evolving world of science for the readers of The Times of India. Consider us your scientific companion, delivering a daily dose of wonder and enlightenment. Whether it's the intricacies of genetic engineering, the marvels of space exploration, or the latest in artificial intelligence, the TOI Science Desk ensures you stay connected to the pulse of the scientific world. At the TOI Science Desk, we are not just reporters; we are storytellers of scientific narratives. We are committed to demystifying the intricacies of science, making it accessible and engaging for readers of all backgrounds. Join us as we craft knowledge with precision and passion, bringing you on a journey where the mysteries of the universe unfold with every word.Read More|True|True
3|Say goodbye to back pain  patients go for advanced endoscopy spine surgery for sciatica|Say goodbye to back pain, patients go for advanced endoscopy spine surgery for sciatica  Kapil Dixit is a graduate of the Indian Institute of Mass Communications. He has covered crime at regional as well as state level. His hobbies include reading, writing and meeting people with diverse interests.Read More|True|True
4|Neurodivergent children more likely to develop chronic fatigue as teen  study finds|could not scrape content|False|True
5|In 2023  India’s Space tech sector secured record $126 million in funding|In 2023, India’s Space tech sector secured record $126 million in funding  10 Most Affordable Cities in India to Buy a HouseMost Visited Monuments in IndiaThe Pros and Cons of Investing in Value StocksInvesting in Small-Cap Stocks: Top 10 Tips for Absolute Beginners10 Ways to Earn Money Online by Selling Physical ProductsRichest Cricket Players Across the World10 Things You Didn’t Know About Warren Buffett’s Investment ProcessPriyanka Chopra Net Worth: Know How Rich is Global ActressTop 10 Benefits of Investing in Small-Cap Stocks15 Best Tax Saving Schemes in IndiaA SIP calculator is a simple tool that allows individuals to get an idea of the returns on theirThis financial tool allows one to resolve their queries related to Public Provident Fund account.When investing in a fixed deposit, the amount you deposit earns interest as per the prevailing...The National Pension System or NPS is a measure to introduce a degree of financial stability...Mutual Funds are one of the most incredible investment strategies that offer better returns...|True|True
6|Mercury's mysteries: Could a diamond layer lie beneath the planet's crust?|Mercury's mysteries: Could a diamond layer lie beneath the planet's crust?  The TOI Science Desk stands as an inquisitive team of journalists, ceaselessly delving into the realms of discovery to curate a captivating collection of news, features, and articles from the vast and ever-evolving world of science for the readers of The Times of India. Consider us your scientific companion, delivering a daily dose of wonder and enlightenment. Whether it's the intricacies of genetic engineering, the marvels of space exploration, or the latest in artificial intelligence, the TOI Science Desk ensures you stay connected to the pulse of the scientific world. At the TOI Science Desk, we are not just reporters; we are storytellers of scientific narratives. We are committed to demystifying the intricacies of science, making it accessible and engaging for readers of all backgrounds. Join us as we craft knowledge with precision and passion, bringing you on a journey where the mysteries of the universe unfold with every word.Read More|True|True
7|Sunita Williams still stuck in space  no return date yet for Boeing Starliner|Sunita Williams still stuck in space, no return date yet for Boeing Starliner  The TOI Science Desk stands as an inquisitive team of journalists, ceaselessly delving into the realms of discovery to curate a captivating collection of news, features, and articles from the vast and ever-evolving world of science for the readers of The Times of India. Consider us your scientific companion, delivering a daily dose of wonder and enlightenment. Whether it's the intricacies of genetic engineering, the marvels of space exploration, or the latest in artificial intelligence, the TOI Science Desk ensures you stay connected to the pulse of the scientific world. At the TOI Science Desk, we are not just reporters; we are storytellers of scientific narratives. We are committed to demystifying the intricacies of science, making it accessible and engaging for readers of all backgrounds. Join us as we craft knowledge with precision and passion, bringing you on a journey where the mysteries of the universe unfold with every word.Read More|True|True
8|Hidden ocean in Uranus' moon Ariel? Nasa's James telescope close to a new discovery|Hidden ocean in Uranus' moon Ariel? Nasa's James telescope close to a new discovery  The TOI Science Desk stands as an inquisitive team of journalists, ceaselessly delving into the realms of discovery to curate a captivating collection of news, features, and articles from the vast and ever-evolving world of science for the readers of The Times of India. Consider us your scientific companion, delivering a daily dose of wonder and enlightenment. Whether it's the intricacies of genetic engineering, the marvels of space exploration, or the latest in artificial intelligence, the TOI Science Desk ensures you stay connected to the pulse of the scientific world. At the TOI Science Desk, we are not just reporters; we are storytellers of scientific narratives. We are committed to demystifying the intricacies of science, making it accessible and engaging for readers of all backgrounds. Join us as we craft knowledge with precision and passion, bringing you on a journey where the mysteries of the universe unfold with every word.Read More|True|True
9|Tomba del Cerbero: Archaeologists unseal 2 000-year-old tomb in Italy|"Tomba del Cerbero: Archaeologists unseal 2,000-year-old tomb in Italy  In Giugliano in Italy, archaeologists were taken aback while examining the interior of the Tomba del Cerbero. The experts made a surprising discovery during their investigation using a microcamera.They found that it was feasible to physically unseal and open the 2,000-year-old stone coffin, also known as a sarcophagus, which had remained untouched for centuries (Photo: Superintendence archaeology fine arts & landscape for the naples metropolitan area) In 2023, archaeologists made a remarkable discovery in Giugliano when they unearthed the perimeter of an ancient necropolis. This finding led them to uncover a structure that was later identified as the entrance to a chamber tomb, now known as the 'tomb of Cerberus.' Upon further investigation, the archaeologists were astounded by the presence of a captivating fresco within the tomb. The fresco showcased Cerberus, the legendary three-headed dog from ancient Greek mythology. (Photo: Superintendence archaeology fine arts & landscape for the Naples metropolitan area) Guigliano, a town situated in the Campania region of Italy, has a rich history dating back to ancient times. The area was settled by Greek colonizers during the period spanning the 8th and 7th centuries BC.Archaeologists from the Superintendency of Archaeology, Fine Arts, and Landscape made a startling discovery when they uncovered a tomb containing remarkably well-preserved bodies. The team was astonished not only by the condition of the remains but also by the unique preservation technique employed. The mummies, which have yet to be publicly showcased through images, were treated with a distinctive mixture of herbs. The ancient embalmers utilized a cream consisting of chenopodium, ""a genus of perennial herb colloquially known as goosefoot,"" and ""absinthium (wormwood)"" to preserve the bodies. (Photo: Superintendence archaeology fine arts & landscape for the Naples metropolitan area)Mariano Nuzzo, an archaeology superintendent working for the Italian Ministry of Culture, stated in a press release that ""The Tomb of Cerberus continues to provide valuable information on the Phlegraean territory near Liternum, expanding knowledge of the past, and, and offering opportunities for research also of a multidisciplinary nature."" (Photo: Superintendence archaeology fine arts & landscape for the Naples metropolitan area) Ananya Panday aces the ethnic fashion game in a floral aqua saree10 garden flowers that are perfect for beginners8 patriotic poems that tug the heart8 most powerful and dangerous birds in the wildSonam Bajwa: Beauty and memories folded in black and white pics10 most unique tribes of the worldThings to keep in mind when buying a men's trimmer in IndiaAmruta Khanvilkar's Classic LooksHere are 10 interesting facts about the 'Action King' Arjun Sarja"|True|True
