ID,Statement,Question_phi,Question_mistral,Label
10540.json,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.," When did natural gas's increased use significantly impact the coal industry, marking the beginning of coal's decline?","1. ""When did the use of natural gas surpass coal in the US during the Bush administration?""",half-true
324.json,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""", Which statement confirms that Hillary Clinton agreed with John McCain's view on voting for George Bush regarding Iran?,"1. ""Did Hillary Clinton and John McCain both vote in favor of giving President Bush the benefit of the doubt on Iran?""",mostly-true
1123.json,Health care reform legislation is likely to mandate free sex change surgeries., Does current health care reform legislation mandate free sex change surgeries?,"1. ""Does the health care reform legislation specifically mandate free sex change surgeries?""",false
9028.json,The economic turnaround started at the end of my term.," ""Did the economic turnaround indeed begin during the period at the end of your term in office?""","1. ""Who made the statement 'The economic turnaround started at the end of my term'?""",half-true
12465.json,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades., How many starting quarterbacks have the Chicago Bears had in the past 10 years?,"1. ""How many tenured faculty members have been fired at the University of Wisconsin in the last 20 years?"" - to compare with the number of starting quarterbacks for the Chicago Bears in the last 10 years.",true
2342.json,Jim Dunnam has not lived in the district he represents for years now., What is the evidence that demonstrates Jim Dunnam's residency status in the district he represents over the past years?,"1. ""When did Jim Dunnam last reside in the district he represents?"" [Answer should indicate a significant period of time before the current date.]",barely-true
153.json,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate."," ""Has anyone other than 'the only person on this stage' actively worked on the toughest ethics reform since Watergate last year alongside Russ Feingold?""","1. ""Who are the individuals mentioned in this headline that passed ethics reforms since Watergate, specifically last year?""",half-true
5602.json,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.", What is the total amount of Oregon Lottery funds used to secure the NOAA Marine Operations Center-Pacific for the Port of Newport?,"1. ""Did the Port of Newport receive $19.5 million from the Oregon Lottery for the NOAA Marine Operations Center-Pacific?""",half-true
9741.json,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs., Which evidence supports the claim that Glenn Grothman and Joe Leibham's compromise vote led to a $788 million increase in electricity costs?,"1. ""Did Glenn Grothman and Joe Leibham's compromise vote result in $788 million increase in electricity costs?""",mostly-true
7115.json,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.", Which fact-check is true regarding the relationship between the national popular vote margin and the Latino vote margin for this occurrence in history?,"1. ""Has the national popular vote margin ever been smaller than the Latino vote margin in US history?""",mostly-true
4148.json,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty."," ""How many Americans have moved from the middle class to poverty since the year 2000?""","1. ""How many Americans have moved from the middle class to poverty since the year 2000?""",half-true
5947.json,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.", How did the government spending in Massachusetts change during Mitt Romney's tenure as governor?,"1. ""Did Mitt Romney reduce the size of Massachusetts government during his governorship?""",false
8616.json,The economy bled $24 billion due to the government shutdown., What specific economic indicators or data reflect the $24 billion loss attributed to the government shutdown?,">(""How much money did the government shutdown cost the economy in 2021?"")",mostly-true
8705.json,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.," ""School students taken damage from Trump administration's rules or policies, but what specific actions or policies that caused this impact?","1. ""Which parts of the Affordable Care Act have been waived or suspended according to reputable sources?""",barely-true
